Category,Item kind,Item kind,Item kind,Item kind,Item kind,Item kind,Item kind,Item kind,Item kind,Item kind
Dinner & Lunch,Modern,Good for groups,Romantic,Good for couples,Classy,Casual,Outdoor seating,Quiet seating,Live music,Bar seating
Bar,Modern,Good for groups,Romantic,Good for couples,Classy,Casual,Outdoor seating,Quiet seating,Live music,Food available
Breakfast,Modern,Good for groups,Romantic,Good for couples,Classy,Casual,Outdoor seating,Quiet seating,Live music,Bar seating
Club & Dance,Electro,Latin,Pop,Rock,HipHop and RnB,Live music,After hour,90s,Good for groups,Table reservations
Concerts & Festivals,Electro,Latin,Pop,Rock,HipHop and RnB,Outdoor,Indoor,Seating available,Standing only,Food available
"Events, Shows & Movies",Live performance,For adults only,Good for couples,Classy,Casual,Romantic,Standing only,Food available,Good for groups,Including service
Theatres & Operas,Classy,Classic music,Ballet,Good for couples,Good for groups,Food available,Romantic,Casual,Funny,Black tie
Museums & Sites,Historical,Contemporary,Modern,Science,Good for couples,Good for groups,Including guide,Formal clothes,Outdoor,No seating
Indoor activity,High fitness level,Special equipment,Including instructor,Good for couples,Good for groups,Food available,Competitive,Comfortable,Including drinks,Instructions required
Outdoor activity,High fitness level,Special equipment,Including instructor,Good for couples,Good for groups,Food available,Competitive,Comfortable,Good weather required,Adventurous
